Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],S12/dB,S12/phase[deg],S12/unwrapped_phase[deg],S21/dB,S21/phase[deg],S21/unwrapped_phase[deg],S22/dB,S22/phase[deg], S22/unwrapped_phase[deg]
1212500000,-14.99808125,-69.4054396,-429.4054396,-4.291568325,4.042746864,-355.9572531,-3.926113936,2.579820199,-357.4201798,-13.96946899,-82.80577293,-442.8057729
1225000000,-15.43297103,-61.80570262,-421.8057026,-4.138400065,-0.632400915,-360.6324009,-3.842041708,1.045932412,-358.9540676,-15.10484383,-73.4575974,-433.4575974
1237500000,-17.90074147,-80.71024193,-440.7102419,-4.067525514,-2.274909831,-362.2749098,-4.10331744,0.72472952,-359.2752705,-16.02793146,-76.38521238,-436.3852124
1250000000,-17.10525547,-86.72167723,-446.7216772,-4.005014429,-4.767566404,-364.7675664,-4.213986057,-2.16044988,-362.1604499,-15.56779375,-85.0404674,-445.0404674
1262500000,-16.2896293,-95.46381784,-455.4638178,-4.120712568,-5.743706076,-365.7437061,-4.415002943,-5.539055745,-365.5390557,-17.8176623,-100.3349701,-460.3349701
1275000000,-16.23565198,-101.5097708,-461.5097708,-4.09208346,-9.721402983,-369.721403,-4.330230985,-8.577458089,-368.5774581,-16.37693161,-97.19329764,-457.1932976
1287500000,-16.22098905,-105.5068799,-465.5068799,-4.563224361,-13.03504364,-373.0350436,-4.368549737,-13.38224846,-373.3822485,-14.28184229,-103.8938124,-463.8938124
1300000000,-16.7220367,-114.5756333,-474.5756333,-4.756232045,-17.27080153,-377.2708015,-4.202641585,-17.72046662,-377.7204666,-14.65843263,-89.14165679,-449.1416568
1312500000,-15.89039142,-117.7340294,-477.7340294,-4.517701273,-20.32479199,-380.324792,-3.836080932,-21.8207494,-381.8207494,-16.14670577,-94.10673356,-454.1067336
1325000000,-15.37946658,-119.879462,-479.879462,-4.280546883,-25.16664044,-385.1666404,-3.613368872,-23.50404942,-383.5040494,-15.31035962,-102.838798,-462.838798
